conf:
                      batch_size: 20
                    bg_thresh_hi: 0.3000
                    bg_thresh_lo: 0
                       bg_weight: 1
         drop_boxes_runoff_image: 1
                     feat_stride: 4
                     fg_fraction: 0.5000
                       fg_thresh: 0.5000
                     image_means: [1x1x3 single]
                   ims_per_batch: 2
                        max_size: 512
                 max_test_length: 3008
                 min_test_length: 64
                        rng_seed: 6
                          scales: 512
                  target_only_gt: 1
                     test_binary: 0
    test_drop_boxes_runoff_image: 0
                   test_max_size: 512
             test_min_box_height: 8
               test_min_box_size: 8
                        test_nms: 0.5000
                test_scale_range: [0.5000 1 2]
                     test_scales: 512
                     use_flipped: 0
                         use_gpu: 1
                        exp_name: 'old_conv3_s4'
                output_width_map: [1x1 containers.Map]
               output_height_map: [1x1 containers.Map]
                         anchors: [5 5 12 12]

opts:
                 cache_name: 'widerface_VGG16_stage1_rpn'
                       conf: [1x1 struct]
                     do_val: 1
    empty_image_sample_step: 1
                   exp_name: 'old_conv3_s4'
                 imdb_train: {[1x1 struct]}
                   imdb_val: [1x1 struct]
                   net_file: 'D:\RPN_BF_master\models\VGG16_widerface\pre_trained_models\vgg_16layers\v…'
                roidb_train: {[1x1 struct]}
                  roidb_val: [1x1 struct]
          snapshot_interval: 2000
            solver_def_file: 'D:\RPN_BF_master\models\VGG16_widerface\rpn_prototxts\vgg_leave\solver_30…'
               val_interval: 2000
                  val_iters: 1000

Preparing training data...Done.
Preparing validation data...Done.
Iter 1, Image 3086, 1880: 1.3 Hz, accuarcy = 0.5712, loss_bbox = 0.0000, loss_cls = 0.6918, accuracy_fg = 0.0000, accuracy_bg = 0.6000, 
Iter 53, Image 1620, 352: 2.1 Hz, accuarcy = 0.9998, loss_bbox = 0.0003, loss_cls = 0.7077, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 54, Image 6832, 3817: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0504, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 55, Image 11079, 10593: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0389, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 56, Image 11032, 107: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0522, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 57, Image 10274, 2192: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0502, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 58, Image 6507, 2399: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0446, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 59, Image 2068, 5907: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0422, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 60, Image 4563, 713: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0425, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 61, Image 7057, 4721: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0411, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 62, Image 6940, 6795: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0284, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 63, Image 6475, 6315: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0391, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 64, Image 4374, 4411: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0365, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 65, Image 465, 5762: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0222, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 66, Image 1413, 495: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0266, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 67, Image 10843, 7341: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0001, loss_cls = 0.1682, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 68, Image 5359, 1552: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0353, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 69, Image 4383, 4811: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0001, loss_cls = 0.2173, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 70, Image 2764, 9359: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0336, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 71, Image 4046, 6783: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0316, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 72, Image 7566, 5811: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0173, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 73, Image 4672, 11717: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0327, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 74, Image 8020, 8801: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0382, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 75, Image 6162, 10138: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0282, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 76, Image 11506, 5988: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0304, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 77, Image 5486, 1016: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0245, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 78, Image 7350, 2579: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0233, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 79, Image 7412, 1334: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0004, loss_cls = 0.9597, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 80, Image 7928, 9369: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0199, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 81, Image 5317, 3058: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0166, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 82, Image 2046, 2588: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0123, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 83, Image 11627, 4377: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0328, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 84, Image 6246, 10941: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0221, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 85, Image 2883, 4994: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0269, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 86, Image 3968, 8976: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0290, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 87, Image 1690, 2269: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0176, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 88, Image 6897, 10186: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0238, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 89, Image 9308, 1040: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0317, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 90, Image 9394, 5366: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0163, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 91, Image 11213, 1237: 2.1 Hz, accuarcy = 0.9998, loss_bbox = 0.0003, loss_cls = 0.8156, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 92, Image 737, 8654: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0262, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 93, Image 10231, 1435: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0001, loss_cls = 0.1641, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 94, Image 3517, 5415: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0249, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 95, Image 5544, 8795: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0184, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 96, Image 3289, 9903: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0187, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 97, Image 392, 11319: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0281, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 98, Image 6690, 10541: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0204, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 99, Image 11057, 6395: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0189, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 100, Image 8602, 11313: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0155, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 101, Image 8848, 2379: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0121, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 102, Image 256, 3044: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0225, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 103, Image 1760, 3332: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0258, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 104, Image 5302, 5909: 1.5 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0141, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 105, Image 8832, 7241: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0114, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 106, Image 8583, 1696: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0177, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 107, Image 4194, 7589: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0078, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 108, Image 8973, 723: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0124, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 109, Image 3325, 5757: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0251, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 110, Image 6681, 1411: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0142, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 111, Image 150, 2616: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0196, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 112, Image 9810, 4282: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0138, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 113, Image 6546, 9937: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0116, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 114, Image 6371, 10993: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0112, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 115, Image 1643, 8231: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0190, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 116, Image 4323, 9533: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0159, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 117, Image 2689, 11513: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2308, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 118, Image 1294, 8918: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0160, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 119, Image 6153, 2708: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0153, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 120, Image 95, 8504: 1.3 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0150, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 121, Image 7051, 9458: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0119, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 122, Image 6878, 2867: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0146, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 123, Image 4925, 8420: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0127, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 124, Image 5617, 1895: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0134, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 125, Image 8294, 2620: 1.7 Hz, accuarcy = 0.9998, loss_bbox = 0.0003, loss_cls = 0.8280, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 126, Image 1580, 6786: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0106, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 127, Image 2928, 5361: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0094, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 128, Image 7336, 3382: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0185, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 129, Image 7948, 489: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0142, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 130, Image 2314, 3282: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0109, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 131, Image 9607, 2454: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0123, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 132, Image 10582, 5875: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0212, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 133, Image 8618, 1830: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0147, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 134, Image 10101, 1350: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0142, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 135, Image 10902, 4419: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0081, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
