conf:
                      batch_size: 60
                    bg_thresh_hi: 0.3000
                    bg_thresh_lo: 0
                       bg_weight: 1
         drop_boxes_runoff_image: 1
                     feat_stride: 4
                     fg_fraction: 0.5000
                       fg_thresh: 0.5000
                     image_means: [1x1x3 single]
                   ims_per_batch: 2
                        max_size: 512
                 max_test_length: 3008
                 min_test_length: 64
                        rng_seed: 6
                          scales: 512
                  target_only_gt: 1
                     test_binary: 0
    test_drop_boxes_runoff_image: 0
                   test_max_size: 512
             test_min_box_height: 8
               test_min_box_size: 8
                        test_nms: 0.5000
                test_scale_range: [0.5000 1 2]
                     test_scales: 512
                     use_flipped: 0
                         use_gpu: 1
                        exp_name: 'old_conv3_s4'
                output_width_map: [1x1 containers.Map]
               output_height_map: [1x1 containers.Map]
                         anchors: [5 5 12 12]

opts:
                 cache_name: 'widerface_VGG16_stage1_rpn'
                       conf: [1x1 struct]
                     do_val: 1
    empty_image_sample_step: 1
                   exp_name: 'old_conv3_s4'
                 imdb_train: {[1x1 struct]}
                   imdb_val: [1x1 struct]
                   net_file: 'D:\RPN_BF_master\models\VGG16_widerface\pre_trained_models\vgg_16layers\v…'
                roidb_train: {[1x1 struct]}
                  roidb_val: [1x1 struct]
          snapshot_interval: 50
            solver_def_file: 'D:\RPN_BF_master\models\VGG16_widerface\rpn_prototxts\vgg_leave\solver_30…'
               val_interval: 50
                  val_iters: 100

Preparing training data...Done.
Preparing validation data...Done.
Iter 1, Image 8895, 4624: 1.4 Hz, accuarcy = 0.6535, loss_bbox = 0.0000, loss_cls = 0.6879, accuracy_fg = 0.0000, accuracy_bg = 0.6000, 
Iter 23, Image 8680, 6543: 2.1 Hz, accuarcy = 0.9995, loss_bbox = 0.0007, loss_cls = 0.5292, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 24, Image 3075, 9432: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2425, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 25, Image 7288, 8521: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2429, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 26, Image 7201, 11215: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2190, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 27, Image 2844, 11170: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0002, loss_cls = 0.2854, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 28, Image 1312, 10419: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0001, loss_cls = 0.2315, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 29, Image 7948, 172: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0005, loss_cls = 0.3525, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 30, Image 10828, 5296: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1618, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 31, Image 3849, 8577: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1537, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 32, Image 7908, 11217: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1275, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 33, Image 10445, 11536: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1287, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 34, Image 2886, 585: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1317, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 35, Image 5975, 7429: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1099, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 36, Image 1196, 11733: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0002, loss_cls = 0.2106, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 37, Image 86, 6463: 2.0 Hz, accuarcy = 0.9997, loss_bbox = 0.0006, loss_cls = 0.4142, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 38, Image 11573, 6531: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1067, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 39, Image 7419, 4173: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0836, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 40, Image 11666, 1094: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0938, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 41, Image 2499, 6956: 1.9 Hz, accuarcy = 0.9995, loss_bbox = 0.0007, loss_cls = 0.7141, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 42, Image 3661, 3360: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0653, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 43, Image 5265, 1314: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0781, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 44, Image 618, 555: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0002, loss_cls = 0.1513, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 45, Image 8955, 5938: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0549, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 46, Image 2252, 3632: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0521, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 47, Image 8104, 27: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0677, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 48, Image 9448, 8283: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0522, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 49, Image 8113, 2890: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0540, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 50, Image 3180, 3328: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1008, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 

------------------------- Iteration 50 -------------------------
Training : err_fg 1, err_bg 0.0197, loss (cls 0.327 + reg 7.26e-05)
Testing  : err_fg 1, err_bg 0, loss (cls 0.103 + reg 6.68e-05)
Saved as D:\RPN_BF_master\output2\old_conv3_s4\rpn_cache\widerface_VGG16_stage1_rpn\WIDERFACE_train\iter_50
Iter 51, Image 11668, 5627: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0439, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 52, Image 6885, 7964: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0335, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 53, Image 6804, 7651: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0347, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 54, Image 6914, 3425: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0409, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 55, Image 6624, 6071: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0346, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 56, Image 6289, 1144: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0413, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 57, Image 7121, 9647: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0479, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 58, Image 580, 4767: 1.8 Hz, accuarcy = 0.9996, loss_bbox = 0.0006, loss_cls = 0.5677, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 59, Image 6185, 170: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0346, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 60, Image 5876, 3138: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0384, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 61, Image 10573, 1426: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0348, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 62, Image 8492, 6958: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0863, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 63, Image 5025, 1751: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0178, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 64, Image 5282, 3880: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0360, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 65, Image 2802, 6245: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0211, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 66, Image 7067, 5731: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0876, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 67, Image 5772, 6915: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0139, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 68, Image 10518, 4797: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0145, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 69, Image 10611, 11566: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0003, loss_cls = 0.3052, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 70, Image 9307, 2260: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0274, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 71, Image 453, 3080: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0296, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 72, Image 8934, 4850: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0176, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 73, Image 9523, 6609: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0234, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 74, Image 4358, 10921: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0858, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 75, Image 6091, 11862: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0178, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 76, Image 8006, 7716: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0173, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 77, Image 5741, 11674: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0187, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 78, Image 3589, 4905: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0156, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 79, Image 11742, 4033: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0250, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 80, Image 539, 479: 1.8 Hz, accuarcy = 0.9997, loss_bbox = 0.0006, loss_cls = 0.6135, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 81, Image 5695, 11109: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0202, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 82, Image 10561, 2577: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0199, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 83, Image 5592, 1678: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0160, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 84, Image 11830, 1903: 2.0 Hz, accuarcy = 0.9997, loss_bbox = 0.0003, loss_cls = 0.5548, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 85, Image 3820, 5657: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0001, loss_cls = 0.1327, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 86, Image 10935, 1260: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0168, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 87, Image 2748, 4571: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0202, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 88, Image 7795, 4433: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0366, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 89, Image 7892, 8102: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0130, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 90, Image 8060, 8766: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0199, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 91, Image 787, 5392: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0004, loss_cls = 0.3972, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 92, Image 9848, 11438: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0312, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 93, Image 1561, 4211: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0256, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 94, Image 5278, 1769: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0116, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 95, Image 5916, 11538: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0093, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 96, Image 563, 7018: 2.0 Hz, accuarcy = 0.9996, loss_bbox = 0.0007, loss_cls = 0.6757, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 97, Image 7350, 11808: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0775, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 98, Image 10163, 7613: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0306, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 99, Image 11139, 538: 2.0 Hz, accuarcy = 0.9995, loss_bbox = 0.0008, loss_cls = 0.7660, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 100, Image 5953, 1019: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0201, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 

------------------------- Iteration 100 -------------------------
Training : err_fg 1, err_bg 0, loss (cls 0.106 + reg 7.89e-05)
Testing  : err_fg 1, err_bg 0, loss (cls 0.0861 + reg 6.58e-05)
Saved as D:\RPN_BF_master\output2\old_conv3_s4\rpn_cache\widerface_VGG16_stage1_rpn\WIDERFACE_train\iter_100
Saved as D:\RPN_BF_master\output2\old_conv3_s4\rpn_cache\widerface_VGG16_stage1_rpn\WIDERFACE_train\final
